python_yn,r_yn,spark_yn,mongodb_yn,tableau_yn,power_bi_yn,hadoop_yn,sql_yn,excel_yn,java_yn,tensorflow_yn,keras_yn,pytorch_yn,hadoop_yn2,communication_skills,analytical_skills,problem_solving,creativity,teamwork,leadership,gpa,experience_years,career_recommendation
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,1,1,3,3.13,1,Business Analyst
1,0,0,0,1,0,0,1,1,0,0,0,0,0,2,1,2,1,2,1,3.12,1,Database Administrator
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,1,3,3.04,1,Cybersecurity Analyst
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,1,1,2.61,0,Data Scientist
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3.36,1,Financial Analyst
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2.62,1,Software Developer
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3.38,1,Financial Analyst
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,1,2.93,0,Web Developer
1,1,0,0,1,1,0,1,0,0,0,0,0,0,2,4,2,1,1,1,2.4,0,Data Scientist
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,1,1,1,2.24,0,Data Scientist
1,1,0,0,1,1,0,1,0,0,0,0,0,0,2,4,2,1,1,1,2.21,0,Data Scientist
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,3.23,1,Electrical / Electronics Engineer
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,2,1,2.84,1,Mobile Developer
1,1,0,0,1,1,0,1,0,1,0,0,0,0,2,4,3,4,1,2,3.2,1,Data Scientist
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,4,1,1,1,2.66,1,Software Developer
0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,1,2,1,1,1,2.58,0,Web Developer
1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,2.62,0,Software Developer
1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,3,1,3,1,1,3.2,0,Web Developer
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,3,1,1,3.8,1,Web Developer
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3.43,1,Electrical / Electronics Engineer
0,0,0,0,0,0,0,1,0,1,0,0,0,0,4,2,3,4,1,1,3.08,1,Software Developer
1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,2,1,1,2.66,1,Software Developer
1,1,0,0,1,1,0,1,0,1,0,0,0,0,1,2,1,2,1,1,2.94,1,Data Scientist
1,1,0,0,1,1,0,1,0,0,0,0,0,0,4,4,3,4,1,4,2.64,0,Data Scientist
1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,4,1,1,1,1,3.34,0,Data Scientist
1,1,0,0,1,1,0,1,0,0,0,0,0,0,4,4,1,1,1,4,2.4,0,Data Scientist
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3.42,1,Data Scientist
0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,4,2,3,1,1,2.82,1,Supply Chain / Logistics Manager
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,2,2.87,1,Data Scientist
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,2,1,2.84,1,Mobile Developer
0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,4,1,1,2.96,1,Oil & Gas Professional
0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,2,1,2,1,2.96,1,Database Administrator
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2.96,1,IoT Engineer
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,1,1,3,2.76,1,Data Scientist
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,3.12,1,Business Analyst
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2.32,1,Digital Marketer
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,1,3.4,1,Business Analyst
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2.66,0,Business Analyst
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,3,1,3,2.98,1,Business Analyst
1,0,0,0,1,1,0,0,0,0,0,0,0,0,3,4,2,1,1,3,1.72,0,Data Scientist
0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,3.34,1,Web Developer
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,1,2,2.74,1,IoT Engineer
0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,1,1,1,3,3.12,1,Digital Marketer
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,3,1,4,3.57,0,Data Scientist
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,1,1,3,0,Software Developer
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,2.8,1,Human Resource Manager
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,4,2.7,1,IT Project Manager
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,1,1,4,3.28,1,Digital Marketer
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,1,2,2.96,1,Data Scientist
1,0,0,0,1,1,0,0,0,0,0,0,0,0,2,3,2,1,1,3,2.84,0,Data Scientist
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,3.34,1,Software Developer
0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,4,3,1,1,1,2.11,1,Data Scientist
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,2,3,2.96,1,IoT Engineer
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1,2,3.08,1,Human Resource Manager
1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,3.23,1,Software Developer
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2.99,1,Cloud Architect
1,1,0,0,0,0,0,1,0,1,0,0,0,0,3,4,1,2,1,1,2.62,1,Web Developer
0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2,1,1,1,2.8,0,Data Scientist
1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,1,1,1,2.8,0,Data Scientist
1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,4,3,1,1,3,3.15,1,Software Developer
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,1,1,1,2.92,0,Data Scientist
0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,1,2,1,1,4,2.81,1,Software Developer
1,1,0,0,1,1,0,1,0,0,0,0,0,0,4,4,3,4,1,4,2.64,1,Web Developer
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,1,1,2.68,1,Data Scientist
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,2,1,2.84,1,Mobile Developer
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,1,1,2,2.96,1,Human Resource Manager
1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2,2,1,1,1,2.77,0,Data Scientist
1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,2.89,1,AI/ML Engineer
1,0,0,0,1,0,0,1,1,0,0,0,0,0,2,1,2,1,2,1,3.12,1,Database Administrator
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,2,3,3.38,1,Human Resource Manager
1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,1,1,1,1,3.4,1,Supply Chain / Logistics Manager
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,2,1,2.84,1,Mobile Developer
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,2,1,2.84,1,Mobile Developer
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,3.04,1,Business Analyst
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,4,2.7,1,IT Project Manager
0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,3,1,1,1,1,2.83,1,Software Developer
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,1,3,3.04,1,Cybersecurity Analyst
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,1,1,3.43,0,Digital Marketer
1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,4,1,1,1,1,2.62,0,Data Scientist
0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,3,1,2,4,2.77,0,Data Scientist
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,1,3,3.04,1,Cybersecurity Analyst
1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,2.48,1,IT Project Manager
0,0,0,0,1,0,0,0,1,1,0,0,0,0,4,2,3,4,2,3,2.82,1,Software Developer
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3.2,0,IoT Engineer
0,0,0,0,1,1,0,0,1,0,0,0,0,0,2,4,3,1,1,1,3.04,1,Data Scientist
0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,2,2,3,1,1,2.85,1,Data Scientist
1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,2.85,0,Web Developer
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,1,3,3.04,1,Cybersecurity Analyst
1,1,0,0,1,1,0,0,0,0,0,0,0,0,4,4,3,4,1,4,3.16,0,Web Developer
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,2,2.76,1,Financial Analyst
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,1,3,3.04,1,Cybersecurity Analyst
1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,2.76,0,Software Developer
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,1,3,3.23,1,Oil & Gas Professional
1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,4,1,1,1,1,2.49,1,Data Scientist
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2.99,1,Cloud Architect
1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,4,2,4,1,1,3.27,0,Web Developer
1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,1,1,1,3.15,1,Software Developer
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,4,1,4,2,0,Data Scientist
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,2,1,2,3.04,1,Software Developer
0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,2,1,1,3.46,1,Software Developer
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,2,3,3.12,1,Cloud Architect
1,0,0,0,1,1,0,1,0,0,0,0,0,0,4,3,3,1,1,4,3.08,0,Supply Chain / Logistics Manager
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3.23,1,Human Resource Manager
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,2,3.46,1,Data Scientist
1,1,0,0,1,1,0,1,0,1,0,0,0,0,4,4,3,4,1,2,2.64,1,Software Developer
1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,2,1,1,1,3.08,1,Software Developer
0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2,1,1,1,3.13,1,Software Developer
1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,2.89,1,AI/ML Engineer
1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,1,2,3.76,0,Data Scientist
1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,4,1,1,1,1,2.56,1,Data Scientist
0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,3,1,1,1,1,2.85,1,Data Scientist
0,0,0,0,0,0,0,1,0,1,0,0,0,0,4,2,3,1,2,3,3.46,1,Software Developer
0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,4,3,4,1,4,2.88,0,Data Scientist
0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,3,2,3,2.89,1,AI/ML Engineer
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2.96,0,Software Developer
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,2.93,1,Network Engineer
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2.48,1,Software Developer
1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,2,4,1,4,2.8,0,Data Scientist
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,1,3.51,1,Web Developer
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2.96,1,IoT Engineer
1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,2,1,1,1,2.74,1,Data Scientist
0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,2,3,1,2,4,3.3,1,Data Scientist
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3.15,1,Network Engineer
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,1,1,3.16,1,Data Scientist
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,4,2,4,3.23,1,Software Developer
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,1,3,3.04,1,Cybersecurity Analyst
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,4,1,1,2.58,0,Data Scientist
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,1,1,2.44,1,Data Scientist
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,3,1,1,2.49,1,IT Project Manager
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,1,2.96,1,Data Scientist
1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,1,1,1,2.93,1,Software Developer
1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,3,1,1,1,1,3.19,1,Data Scientist
1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,3,1,1,2.44,0,Web Developer
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2.99,1,Cloud Architect
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2.81,1,Electrical / Electronics Engineer
1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,1,1,2.47,1,Software Developer
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,3.26,0,Digital Marketer
1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,2.79,0,Software Developer
1,0,0,0,1,0,0,1,1,0,0,0,0,0,2,1,2,1,2,1,3.12,1,Database Administrator
0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,2,1,2,1,2.96,1,Database Administrator
0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,2,1,2,1,2.81,1,Database Administrator
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,3.27,1,Cloud Architect
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,3,1,2,2.84,1,Supply Chain / Logistics Manager
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,1,2,3.15,1,Digital Marketer
0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,1,3,1,2,2.96,1,Software Developer
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,4,2.53,1,Supply Chain / Logistics Manager
1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,4,1,1,1,1,3.23,1,Software Developer
1,0,0,0,1,1,0,0,0,0,0,0,0,0,2,4,2,1,1,2,3.47,0,Data Scientist
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,1,3.04,1,Software Developer
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,2.8,1,Human Resource Manager
0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,4,3,1,1,4,3.2,1,Data Scientist
1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,4,2,1,1,1,2,0,Data Scientist
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,1,3.42,1,Software Developer
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,1,2,2,1,2.93,1,Data Scientist
1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,2,1,2,1,1,3.55,1,Data Scientist
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,1,3,3.04,1,Cybersecurity Analyst
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2.43,1,Supply Chain / Logistics Manager
1,0,0,0,1,1,0,1,0,0,0,0,0,0,3,4,3,1,1,1,2.28,0,Data Scientist
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2.99,1,Cloud Architect
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,1,3,3.04,1,Cybersecurity Analyst
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,1,3,3.27,0,Data Scientist
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,2.34,1,Software Developer
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,2,1,1,3,2.28,0,Data Scientist
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,1,2.85,0,Data Scientist
1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,4,1,1,1,1,3.48,0,Data Scientist
1,1,0,0,1,1,0,1,0,0,0,0,0,0,4,4,2,1,1,4,2.68,0,Data Scientist
1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,2,1,1,2,1,2.66,0,Data Scientist
0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,4,3,3,1,2,3,1,Data Scientist
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,1,1,2.66,1,Business Analyst
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,1,1,2.6,1,Web Developer
1,1,0,0,0,0,0,1,0,0,0,0,0,0,4,2,1,2,1,1,3.08,0,Data Scientist
1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,2.68,1,Data Scientist
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,2,1,2.84,1,Mobile Developer
1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,1,1,3,2.47,0,Data Scientist
1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,1,1,1,3.4,0,Data Scientist
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,1,2.94,0,Electrical / Electronics Engineer
1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,1,1,1,1,2.66,0,Software Developer
0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,3,3,3,2,3,3.5,1,Electrical / Electronics Engineer
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2.85,1,Human Resource Manager
1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,2.89,1,AI/ML Engineer
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,2.62,1,Digital Marketer
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,1,1,2.54,0,Data Scientist
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,1,3,3.04,1,Cybersecurity Analyst
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2.62,1,Software Developer
1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,3,1,2,1,1,2.96,1,Web Developer
1,0,0,0,1,1,0,1,0,0,0,0,0,0,4,4,3,3,1,1,2.49,0,Data Scientist
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,1,1,2.89,0,Data Scientist
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,1,Data Scientist
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,1,1,2,2.88,0,Data Scientist
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,4,3,1,1,2.99,0,Electrical / Electronics Engineer
0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,1,4,1,4,3,1,IT Project Manager
1,0,0,0,1,1,0,0,0,1,0,0,0,0,4,4,3,4,1,1,2.76,1,Web Developer
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,2.7,1,Electrical / Electronics Engineer
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3.04,1,Business Analyst
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,2,1,2.84,1,Mobile Developer
1,0,0,0,1,1,0,1,0,0,0,0,0,0,3,2,3,1,1,3,2.2,0,Data Scientist
0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,1,1,2,2.56,1,Data Scientist
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,3.27,1,Cloud Architect
1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,3.19,1,Software Developer
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,2,3.27,1,Data Scientist
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,4,2.83,1,Electrical / Electronics Engineer
1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,2.68,0,Data Scientist
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3.04,1,Software Developer
1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2,1,3,1,1,2.97,1,Software Developer
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,2,3,2.94,1,Business Analyst
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,1,1,1,1,2.4,1,Data Scientist
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,1,2,4,2.96,1,Software Developer
1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,2.48,1,Software Developer
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,2,3,3.38,1,Human Resource Manager
1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,3,1,1,2.52,0,Data Scientist
1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,2,1,1,3.13,0,Data Scientist
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,1,3,3.04,1,Cybersecurity Analyst
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,3.27,1,Cloud Architect
1,0,0,0,0,0,0,1,0,1,0,0,0,0,2,2,1,3,1,3,2.4,0,Web Developer
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2.6,1,Financial Analyst
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2.43,1,Supply Chain / Logistics Manager
1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,2,3,1,1,3.2,1,Software Developer
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,1,1,4,2.72,1,Data Scientist
0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,1,1,3.34,1,Oil & Gas Professional
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3.15,1,Network Engineer
1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,3.42,0,Web Developer
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,1,2,2.28,0,Web Developer
0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,2,1,2,1,2.81,1,Database Administrator
1,1,0,0,1,1,0,0,0,0,0,0,0,0,2,4,3,1,1,3,2.73,1,Data Scientist
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,3,2,1,1,3,1,Financial Analyst
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,2,2.7,1,Supply Chain / Logistics Manager
0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,3,2,3,2.89,1,AI/ML Engineer
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3.15,1,Software Developer
1,1,0,0,1,1,0,0,0,0,0,0,0,0,3,4,2,1,1,3,3.31,0,Data Scientist
1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,1,1,1,1,2.62,0,Data Scientist
